S.NO,JIRA ID,Summary,Status,Assignee,Reporter,Created Date,Components,Labels,Sprint
1,AR-28227,[Hotfix-22.3] Object Creation Taf Script execution is failing ,Open,Sampath Kumar,Sai Kumar Kolipaka,20/02/2023 23:39,TAF,arm-code,ARM Tech debt backlog - 23.1
2,AR-28735,"[22.3] I am Observing When Setupping the new instance , Plugins are not displaying in Admin My Account Section",Open,Srinivas Salloori,Sai Kumar Kolipaka,09/04/2023 15:28,Admin,arm-deployments,ARM Tech debt backlog - 23.1
3,AR-28736,"[22.3] It would be better to separate the API tokens to display them instance-wise, similar to the agent separation fix.",Open,Ramesh Gudepu,Sai Kumar Kolipaka,10/04/2023 11:29,Admin,arm-code,ARM Tech debt backlog - 23.1
4,AR-29686,[Hotfix-22.3] Using Package XMl :  Document XML files are not being listed in the Org compare screen,Fix In Progress,Ramesh Babu Korada,Sai Kumar Kolipaka,20/06/2023 16:29,Deployment,arm-deployments,ARM Tech debt backlog - 23.1
5,AR-29691,"[Hotfix-22.3] Deployment : For Vlocity Versioncontrol Deployment , Calculation Matrices are not  displaying properly if name contain comma",Able to Reproduce,Digamber Jha,Sai Kumar Kolipaka,20/06/2023 17:50,Deployment,arm-deployments,ARM Tech debt backlog - 23.1
6,AR-29914,"[22.3,22.2 and Integration] I observed one issue , that  AR version is displaying incorrectly in the audit log files. The respective AR version is not being updated in the installation properties, and by default, it shows as 20.2.",Open,Srinivas Salloori,Sai Kumar Kolipaka,06/07/2023 17:58,Admin,arm-deployments,ARM Tech debt backlog - 23.1
7,AR-30235,[ARM-SIT] Unable to fetch the created salesforce commit label through EZ-merge in EZ-commit for DX repository,Open,Bhanu Prakash Yempati,Vineeth Reddy Paduri,27/07/2023 17:37,Version Control,arm-code,ARM Tech debt backlog - 23.1
8,AR-30351,Integration:weekly reports_All filters_if data is not found user is unable to find the proper info_improvement,Open,Rahul Nandan Tadepalli,Shamshun s,03/08/2023 15:10,sfdx,arm-deployments,ARM Tech debt backlog - 23.1
9,AR-30365,[22.3] Unable to create team under subscriptions,Open,Bhanu Prakash Yempati,Vineeth Reddy Paduri,03/08/2023 20:05,Admin,arm-code,ARM Tech debt backlog - 23.1
10,AR-30602,"[ARM-QAN] and [ARM-QAN5] Unable to perform commit, merge and merge request comments",Able to Reproduce,Prajjwal Jaiswal,Vineeth Reddy Paduri,13/08/2023 19:56,Version Control,arm-code,ARM Tech debt backlog - 23.1
11,AR-30637,New Deployment using package.xml showing "No changes" for deployment,Open,Rahul Nandan Tadepalli,Support_Jira,15/08/2023 21:12,Deployment,arm-deployments,ARM Tech debt backlog - 23.1
12,AR-31078,[ARM-QAN] Getting Null parameters Error when click on save in users section,Open,Giriraj Tomar,Vineeth Reddy Paduri,26/08/2023 10:59,Admin,arm-code,ARM Tech debt backlog - 23.1
13,AR-31347,[ARM-QAN] Unable to fetch the Added custom labels through autodraft when reverted the commit. for  DX and Non-DX.,Fix In Progress,Prajjwal Jaiswal,Vineeth Reddy Paduri,15/09/2023 20:40,Version Control,arm-code,ARM Tech debt backlog - 23.1
14,AR-31904,V59 22.3: Org synchronization metadata retrieval is not getting as expected and we are getting pop-up:Signals that an attempt to open the file denoted by a specified pathname has failed.,Able to Reproduce,Shivasheesh Chaturvedi,Shamshun s,12/10/2023 18:47,Deployment,arm-deployments,ARM Tech debt backlog - 23.1
15,AR-31957,"[23.1] Unable to perform merge for sub-user, getting error to re-login",Open,Prajjwal Jaiswal,Vineeth Reddy Paduri,18/10/2023 22:24,Version Control,arm-code,ARM Tech debt backlog - 23.1
16,AR-31958,[23.1] Unable to perform merge request for sub-user getting error to re-login,close,Giriraj Tomar,Vineeth Reddy Paduri,18/10/2023 22:33,Version Control,arm-code,ARM Tech debt backlog - 23.1
17,AR-31959,[23.1] Unable to select components under 'All metadata components" for sub-user getting error to re-login,close,Giriraj Tomar,Vineeth Reddy Paduri,18/10/2023 23:08,Version Control,arm-code,ARM Tech debt backlog - 23.1
18,AR-31963,"[23.1-VC] Subuser is having the only Commits screen permission , after that when go to merge conflicts screen getting ""please re-login"" popup message ",close,Giriraj Tomar,Sai Kumar Kolipaka,19/10/2023 15:33,Version Control,arm-code,ARM Tech debt backlog - 23.1
