S NO,Issue Type,Issue key,Fix versions,Summary,Labels,Status,Assignee,QA BY
1,Story,AR-32103,Release 23.1,SAML version upgrade,arm-deployments,QA passed,Shivasesh,Saikumar
2,Story,AR-27553,Release 23.1,[Product] - #57773 {CVS} Need Audit Logs On Admin Module - My Account,arm-code,IN QA,Bhanu Prakash Yempati,
3,Story,AR-27411,Release 23.1,[Tech] - Code - Query optimization on history pages,arm-code,Ready for UAT,Bhanu Prakash Yempati,
4,Story,AR-27611,Release 23.1,Deploy - Soap Services convert to rest services-Phase 2,arm-deployments,IN QA,Digamber Jha,
5,Story,AR-27526,Release 23.1,Verifying Email IDs before Triggering any email notification,1BL,Ready for UAT,Digamber Jha,
6,Story,AR-27412,Release 23.1,Deploy - Soap Services convert to rest services-Phase 1,arm-deployments,IN QA,Digamber Jha,
7,Story,AR-27513,Release 23.1,[Product] - Exporting User Details,1BL,Ready for UAT,Giriraj Tomar,
8,Story,AR-27512,Release 23.1,[Product] - List view with details for Release labels and Commit labels in New EZ merge,1BL,Ready for UAT,Giriraj Tomar,
9,Story,AR-27373,Release 23.1,[Product] - JIRA - Gap identified in connected Apps (OAuth),arm-code,Ready for UAT,Giriraj Tomar,
10,Story,AR-27628,Release 23.1,[Tech] - Remove Unused Jars,arm-code,Ready for UAT,Pradeep Budharapu,
11,Story,AR-27410,Release 23.1,[Tech] - Third party library upgrade,arm-code,Ready for UAT,Pradeep Budharapu,
12,Story,AR-27387,Release 23.1,[Tech] - Upgrade from Spring version 5 to 6.0.3 and Spring Boot version 2 to 3.0.1,arm-code,Ready for UAT,Pradeep Budharapu,
13,Story,AR-27385,Release 23.1,[Tech] - Tomcat version upgrade from 9 to 10.0.27,arm-code,Ready for UAT,Pradeep Budharapu,
14,Story,AR-24935,Release 23.1,[Tech] - Upgrade jaxb libraries on 3 repos,arm-code,Ready for UAT,Pradeep Budharapu,
15,Story,AR-27606,Release 23.1,[Product] - #57773 {CVS} Need Audit Logs On Admin Module - Other sub modules,arm-code,IN QA,Prajjwal Jaiswal,
16,Story,AR-27280,Release 23.1,[Tech] - Soap services convert to rest services - Code Team,arm-code,READY FOR QA,Prajjwal Jaiswal,
17,Story,AR-27246,Release 23.1,Salesforce function support,,Open,Prashanth Samudrala,
18,Story,AR-27413,Release 23.1,JWT support for all Rest Services,arm-code,IN QA,Radhika Kancherla,
19,Epic,AR-26927,Release 23.1,Move away from Single URL based application,arm-code,In Progress,Radhika Kancherla,
20,Epic,AR-27282,Release 23.1,Dynamo DB migration to cloud DB,,Open,Rahul Nandan Tadepalli,
21,Epic,AR-27239,Release 23.1,Automating 1000 Pre and Post-deployment steps with Devtools.AI,1BL,Open,Rahul Nandan Tadepalli,
22,Spike,AR-27233,Release 23.1,Analyze impact of WAF on ARM,,Open,Rahul Nandan Tadepalli,
23,Story,AR-28903,Release 23.1,Move common logic of metadata retrieval to pipeline,arm-deployments,Open,Ramesh Babu Korada,
24,Story,AR-28381,Release 23.1,"SDK 2.0 migrate commitqueue, deploymenthistory, deploymentiteration tables",arm-deployments,READY FOR QA,Ramesh Babu Korada,
25,Story,AR-27416,Release 23.1,Deploy - Query optimization on history pages ,arm-deployments,IN QA,Ramesh Babu Korada,
26,Story,AR-27245,Release 23.1,Delta merge after CI,arm-deployments,Ready for UAT,Ramesh Babu Korada,
27,Story,AR-27157,Release 23.1,PAT - Support for JIRA,,Open,Sampath Kumar,
28,Story,AR-23398,Release 23.1,[Product] - Branch cleanup,2022-01-14-inode-exhaustion,IN DEVELOPMENT,Sampath Kumar,
29,Story,AR-27372,Release 23.1,Salesforce DX - Schedules - CI Job for Unlocked Package Version build and deployment,arm-deployments,READY FOR QA,Shivasheesh Chaturvedi,
30,Story,AR-27371,Release 23.1,Support for Salesforce Spring ’23 Release,arm-deployments,Done,Shivasheesh Chaturvedi,
31,Story,AR-26552,Release 23.1,Upgrade to AWS SDK for Java 2.x,arm-code,IN DEVELOPMENT,Srinivas Salloori,
32,Story,AR-26123,Release 23.1, Update ARM code base to Open JDK 17(LTS),1BL,Ready for UAT,Srinivas Salloori,
33,Spike,AR-15319,Release 23.1,Dependency API support for predictable deployments and improved deployment success rate,crl.com,Open,Srinivas Salloori,
34,Story,AR-27384,Release 23.1,ARM - performance upgrade and Aligning to the current market,,Open,,
35,Story,AR-27355,Release 23.1,Depedency Analyzer for Prevalidation Framework,arm-deployments,Open,,
36,Spike,AR-25078,Release 23.1,OAuth 2.0 support for GIT flows (Framework),1BL,Open,,
37,Epic,AR-19423,Release 23.1,ServiceNow Change management,CustomerRequests,Open,,
